iter	MultiClass
0	1.05799765
1	1.026454349
2	0.997652613
3	0.9741879996
4	0.9519040981
5	0.9316699039
6	0.9113842812
7	0.8931897648
8	0.879433398
9	0.8627303055
10	0.8491764637
11	0.836899267
12	0.8246965071
13	0.8135772169
14	0.8018406209
15	0.7913400605
16	0.7833595381
17	0.77314413
18	0.7673547959
19	0.7596081843
20	0.7506768548
21	0.743489486
22	0.7371071009
23	0.7315659536
24	0.725116695
25	0.7186326196
26	0.7133620201
27	0.7081246596
28	0.7031819649
29	0.6974452472
30	0.6932028575
31	0.6889744072
32	0.6850658036
33	0.6787918054
34	0.6753898896
35	0.6718384344
36	0.6693840592
37	0.6666335852
38	0.6621659263
39	0.6590772531
40	0.6548294582
41	0.6516374226
42	0.6476051633
43	0.6442396946
44	0.6401764741
45	0.6372473209
46	0.6342139028
47	0.6321005476
48	0.6304165355
49	0.6274786117
50	0.6248989947
51	0.6199963935
52	0.6175475272
53	0.6146972779
54	0.6130395782
55	0.6099956366
56	0.6073999638
57	0.6049907154
58	0.6024595856
59	0.5999697743
60	0.5969804885
61	0.5951092526
62	0.5932203192
63	0.5909432512
64	0.5879695577
65	0.5855624311
66	0.5825832451
67	0.5804102669
68	0.5784093958
69	0.5766296969
70	0.5746659723
71	0.5726921892
72	0.5706170454
73	0.5682415838
74	0.566924502
75	0.5646698973
76	0.56264043
77	0.5608726022
78	0.559384248
79	0.5575197371
80	0.5559555183
81	0.5548511306
82	0.553028126
83	0.5514279794
84	0.5494356278
85	0.5472960845
86	0.5444506518
87	0.5417096362
88	0.5400900275
89	0.5388809518
90	0.5378321837
91	0.5353624341
92	0.5340552203
93	0.5326211314
94	0.5309842796
95	0.529105316
96	0.5279396735
97	0.5260589281
98	0.5249568684
99	0.524009918
100	0.5224093565
101	0.5207175474
102	0.5193243323
103	0.5174862544
104	0.515894377
105	0.5142782237
106	0.5132584437
107	0.5112642868
108	0.5102294961
109	0.5092471274
110	0.5081457745
111	0.5059531862
112	0.5037082547
113	0.5021315707
