iter	Passed	Remaining
0	5	5479
1	10	5182
2	15	5057
3	20	4982
4	25	4988
5	29	4961
6	34	4941
7	39	4930
8	44	4917
9	49	4906
10	54	4872
11	59	4858
12	63	4839
13	68	4828
14	73	4813
15	78	4804
16	82	4787
17	87	4767
18	91	4746
19	96	4739
20	101	4725
21	106	4712
22	110	4701
23	115	4686
24	119	4674
25	124	4674
26	129	4665
27	134	4655
28	138	4651
29	143	4641
30	148	4630
31	152	4623
32	157	4613
33	162	4605
34	167	4612
35	171	4605
36	176	4597
37	181	4591
38	186	4584
39	190	4575
40	195	4573
41	200	4565
42	204	4557
43	209	4553
44	214	4547
45	218	4539
46	223	4535
47	228	4527
48	232	4519
49	237	4515
50	242	4507
51	246	4501
52	251	4496
53	256	4489
54	260	4482
55	265	4477
56	270	4469
57	274	4464
58	279	4462
59	284	4458
60	289	4456
61	294	4455
62	299	4451
63	304	4447
64	309	4447
65	313	4441
66	318	4439
67	323	4438
68	328	4434
69	333	4430
70	338	4428
71	343	4430
72	348	4426
73	353	4421
74	358	4419
75	363	4418
76	368	4414
77	373	4409
78	378	4410
79	383	4411
80	389	4424
81	396	4441
82	403	4454
83	408	4459
84	413	4454
85	418	4450
86	423	4448
87	428	4445
88	433	4441
89	439	4439
90	443	4433
91	448	4429
92	453	4424
93	458	4417
94	463	4411
95	467	4404
96	472	4396
97	476	4389
98	481	4382
99	486	4375
100	490	4367
101	495	4361
102	499	4353
103	504	4347
104	509	4341
105	513	4334
106	518	4327
107	523	4325
108	528	4318
109	532	4311
110	537	4306
111	542	4300
112	547	4294
113	551	4289
114	556	4282
115	561	4275
116	565	4270
117	570	4262
118	574	4256
119	579	4251
120	584	4244
121	588	4238
122	593	4232
123	598	4225
124	602	4219
125	607	4214
126	612	4208
127	616	4202
128	621	4198
129	626	4191
130	631	4185
131	635	4180
132	640	4173
133	644	4167
134	649	4162
135	654	4156
136	658	4150
137	663	4144
138	668	4138
139	672	4132
140	677	4126
141	682	4121
142	686	4115
143	691	4109
144	696	4105
145	701	4101
146	706	4097
147	710	4091
148	715	4085
149	719	4079
150	724	4074
151	729	4068
152	733	4062
153	738	4057
154	743	4051
155	747	4046
156	752	4040
157	757	4034
158	761	4029
159	766	4023
160	770	4017
161	775	4011
162	780	4006
163	784	4000
164	789	3995
165	794	3990
166	798	3985
167	803	3979
168	808	3974
169	812	3969
170	817	3963
171	822	3958
172	826	3952
173	831	3947
174	836	3943
175	841	3937
176	845	3931
177	850	3926
178	854	3920
179	859	3915
180	864	3911
181	869	3905
182	873	3900
183	878	3897
184	883	3892
185	888	3888
186	893	3884
187	898	3879
188	903	3875
189	908	3872
190	913	3868
191	918	3863
192	923	3859
193	927	3855
194	932	3851
195	937	3846
196	942	3842
197	947	3838
198	952	3832
199	957	3828
200	962	3825
201	967	3820
202	972	3816
203	976	3812
204	981	3806
205	986	3801
206	991	3798
207	996	3793
208	1001	3788
209	1006	3785
210	1011	3780
211	1015	3775
212	1020	3771
213	1025	3766
214	1030	3761
215	1034	3756
216	1039	3750
217	1044	3745
218	1048	3740
219	1053	3735
220	1058	3731
221	1063	3726
222	1068	3721
223	1072	3716
224	1077	3711
225	1082	3706
226	1086	3700
227	1091	3696
228	1096	3690
229	1100	3684
230	1105	3679
231	1109	3674
232	1114	3668
233	1119	3663
234	1123	3658
235	1128	3652
236	1133	3647
237	1137	3642
238	1142	3637
239	1147	3632
240	1151	3627
241	1156	3622
242	1161	3617
243	1165	3611
244	1170	3606
245	1175	3602
246	1179	3596
247	1184	3591
248	1189	3586
249	1193	3581
250	1198	3576
251	1203	3571
252	1207	3566
253	1212	3561
254	1217	3556
255	1222	3551
256	1226	3546
257	1231	3541
258	1236	3537
259	1241	3532
260	1245	3527
261	1250	3522
262	1255	3516
263	1259	3511
264	1264	3506
265	1268	3501
266	1273	3496
267	1278	3491
268	1282	3485
269	1287	3480
270	1292	3475
271	1296	3470
272	1301	3465
273	1305	3460
274	1310	3455
275	1315	3449
276	1320	3446
277	1325	3442
278	1330	3437
279	1335	3434
280	1340	3429
281	1345	3425
282	1350	3420
283	1355	3416
284	1360	3412
285	1364	3407
286	1369	3403
287	1374	3398
288	1379	3393
289	1384	3389
290	1389	3385
291	1393	3379
292	1398	3374
293	1403	3369
294	1408	3364
295	1412	3360
296	1417	3355
297	1422	3350
298	1427	3345
299	1431	3340
300	1436	3335
301	1440	3330
302	1445	3325
303	1450	3320
304	1455	3315
305	1459	3310
306	1464	3305
307	1468	3299
308	1473	3295
309	1478	3290
310	1482	3285
311	1487	3280
312	1492	3275
313	1496	3270
314	1501	3265
315	1506	3260
316	1511	3255
317	1515	3250
318	1520	3245
319	1524	3240
320	1529	3235
321	1534	3230
322	1538	3225
323	1543	3220
324	1548	3215
325	1552	3210
326	1557	3205
327	1562	3200
328	1566	3195
329	1571	3190
330	1576	3185
331	1580	3180
332	1585	3175
333	1590	3172
334	1595	3166
335	1600	3162
336	1604	3156
337	1609	3151
338	1613	3146
339	1618	3141
340	1623	3136
341	1627	3131
342	1632	3126
343	1637	3121
344	1641	3116
345	1646	3111
346	1651	3106
347	1655	3101
348	1660	3097
349	1665	3092
350	1669	3087
351	1674	3082
352	1679	3077
353	1683	3072
354	1688	3067
355	1692	3062
356	1697	3057
357	1702	3052
358	1707	3047
359	1711	3042
360	1716	3038
361	1720	3033
362	1725	3028
363	1730	3023
364	1734	3018
365	1739	3013
366	1744	3008
367	1748	3003
368	1753	2998
369	1758	2993
370	1762	2988
371	1767	2984
372	1772	2979
373	1777	2974
374	1781	2969
375	1786	2964
376	1791	2960
377	1795	2955
378	1800	2950
379	1805	2945
380	1809	2940
381	1814	2935
382	1819	2930
383	1823	2925
384	1828	2920
385	1832	2915
386	1837	2910
387	1842	2905
388	1846	2900
389	1851	2895
390	1856	2891
391	1860	2886
392	1865	2881
393	1870	2876
394	1875	2871
395	1879	2866
396	1884	2861
397	1888	2857
398	1893	2852
399	1898	2847
400	1902	2842
401	1907	2837
402	1912	2832
403	1916	2827
404	1921	2822
405	1925	2817
406	1930	2813
407	1935	2808
408	1940	2803
409	1945	2799
410	1949	2794
411	1954	2789
412	1959	2784
413	1963	2779
414	1968	2774
415	1973	2770
416	1977	2765
417	1982	2760
418	1987	2755
419	1991	2750
420	1996	2745
421	2001	2741
422	2005	2736
423	2010	2731
424	2015	2726
425	2019	2721
426	2024	2716
427	2029	2711
428	2033	2707
429	2038	2702
430	2043	2697
431	2047	2692
432	2052	2687
433	2057	2682
434	2061	2678
435	2066	2673
436	2071	2668
437	2075	2663
438	2080	2658
